County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-07-24,13557,2295,0.16928524009736667,286,13,273,286
DuPage,2020-07-24,2253,404,0.17931646693297826,67,7,60,65
Lake,2020-07-24,1762,300,0.170261066969353,52,25,27,52
Kane,2020-07-24,1028,168,0.16342412451361868,37,12,25,37
Will,2020-07-24,844,164,0.1943127962085308,34,20,14,30
St. Clair,2020-07-24,588,101,0.1717687074829932,18,1,17,18
McHenry,2020-07-24,488,85,0.17418032786885246,14,8,6,13
Winnebago,2020-07-24,449,69,0.15367483296213807,17,5,12,17
Kankakee,2020-07-24,334,41,0.12275449101796407,12,7,5,12
Madison,2020-07-24,305,61,0.2,13,0,13,13
Rock Island,2020-07-24,208,23,0.11057692307692307,12,2,10,12
Clinton,2020-07-24,184,17,0.09239130434782608,4,1,3,4
Sangamon,2020-07-24,149,28,0.18791946308724833,6,3,3,6
Peoria,2020-07-24,147,27,0.1836734693877551,7,4,3,7
DeKalb,2020-07-24,133,17,0.12781954887218044,4,2,2,4
Union,2020-07-24,131,20,0.15267175572519084,3,1,2,3
Macon,2020-07-24,104,22,0.21153846153846154,5,0,5,5
Coles,2020-07-24,99,16,0.16161616161616163,4,1,3,4
Boone,2020-07-24,93,15,0.16129032258064516,2,0,2,2
Iroquois,2020-07-24,79,4,0.05063291139240506,3,1,2,3
Lee,2020-07-24,76,1,0.013157894736842105,1,0,1,1
Jefferson,2020-07-24,73,16,0.2191780821917808,1,0,1,1
Whiteside,2020-07-24,70,10,0.14285714285714285,6,1,5,6
McDonough,2020-07-24,69,16,0.2318840579710145,3,1,2,3
Monroe,2020-07-24,68,11,0.16176470588235295,4,0,4,4
McLean,2020-07-24,65,11,0.16923076923076924,3,2,1,3
Morgan,2020-07-24,64,4,0.0625,1,0,1,1
Kendall,2020-07-24,62,14,0.22580645161290322,3,1,2,3
Jackson,2020-07-24,60,15,0.25,2,0,2,2
LaSalle,2020-07-24,59,10,0.1694915254237288,3,1,2,3
Cass,2020-07-24,58,11,0.1896551724137931,1,0,1,1
Jasper,2020-07-24,49,8,0.16326530612244897,1,0,1,1
Champaign,2020-07-24,45,4,0.08888888888888889,5,1,4,5
Grundy,2020-07-24,34,3,0.08823529411764706,2,0,2,2
Tazewell,2020-07-24,26,6,0.23076923076923078,2,0,2,2
Adams,2020-07-24,19,0,0.0,2,0,2,2
Montgomery,2020-07-24,15,2,0.13333333333333333,2,1,1,2
Ford,2020-07-24,11,0,0.0,3,2,1,3
Ogle,2020-07-24,8,0,0.0,2,0,2,2
Shelby,2020-07-24,8,0,0.0,2,1,1,2
Wayne,2020-07-24,8,1,0.125,2,1,1,2
Macoupin,2020-07-24,6,0,0.0,2,1,1,2
Randolph,2020-07-24,4,0,0.0,2,0,2,2
Clark,2020-07-24,4,0,0.0,1,0,1,1
Christian,2020-07-24,4,0,0.0,2,1,1,2
Mercer,2020-07-24,3,0,0.0,1,0,1,1
Effingham,2020-07-24,3,0,0.0,1,0,1,1
Carroll,2020-07-24,3,0,0.0,1,0,1,1
Logan,2020-07-24,3,0,0.0,1,0,1,1
Jo Daviess,2020-07-24,2,0,0.0,1,1,0,1
Stephenson,2020-07-24,2,0,0.0,1,0,1,1
Williamson,2020-07-24,2,0,0.0,1,0,1,1
