County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-07-10,13251,2244,0.16934570975775412,282,282
DuPage,2020-07-10,2172,389,0.179097605893186,59,59
Lake,2020-07-10,1748,294,0.16819221967963388,49,49
Kane,2020-07-10,959,159,0.16579770594369134,37,37
Will,2020-07-10,821,155,0.18879415347137637,31,30
St. Clair,2020-07-10,543,97,0.17863720073664824,17,17
McHenry,2020-07-10,457,81,0.1772428884026258,14,13
Winnebago,2020-07-10,415,61,0.14698795180722893,17,17
Kankakee,2020-07-10,330,41,0.12424242424242424,12,12
Madison,2020-07-10,294,60,0.20408163265306123,13,13
Rock Island,2020-07-10,186,23,0.12365591397849462,10,10
Clinton,2020-07-10,182,17,0.09340659340659341,4,4
Sangamon,2020-07-10,148,28,0.1891891891891892,6,6
Peoria,2020-07-10,147,25,0.17006802721088435,7,7
Union,2020-07-10,130,18,0.13846153846153847,3,3
DeKalb,2020-07-10,121,13,0.10743801652892562,4,4
Macon,2020-07-10,102,22,0.21568627450980393,4,4
Coles,2020-07-10,93,16,0.17204301075268819,2,2
Boone,2020-07-10,93,14,0.15053763440860216,2,2
Lee,2020-07-10,76,1,0.013157894736842105,1,1
Jefferson,2020-07-10,73,16,0.2191780821917808,1,1
Whiteside,2020-07-10,69,10,0.14492753623188406,6,6
McDonough,2020-07-10,68,16,0.23529411764705882,3,3
McLean,2020-07-10,65,10,0.15384615384615385,3,3
Morgan,2020-07-10,63,2,0.031746031746031744,1,1
Kendall,2020-07-10,60,14,0.23333333333333334,3,3
Jackson,2020-07-10,56,15,0.26785714285714285,2,2
Cass,2020-07-10,54,7,0.12962962962962962,1,1
Iroquois,2020-07-10,53,4,0.07547169811320754,2,2
Monroe,2020-07-10,52,11,0.21153846153846154,3,3
Jasper,2020-07-10,49,8,0.16326530612244897,1,1
LaSalle,2020-07-10,47,10,0.2127659574468085,2,2
Champaign,2020-07-10,39,4,0.10256410256410256,3,3
Grundy,2020-07-10,31,3,0.0967741935483871,1,1
Tazewell,2020-07-10,26,6,0.23076923076923078,2,2
Montgomery,2020-07-10,15,0,0.0,2,2
Ford,2020-07-10,10,0,0.0,3,3
Wayne,2020-07-10,8,1,0.125,2,2
Ogle,2020-07-10,8,0,0.0,2,2
Adams,2020-07-10,6,0,0.0,2,2
Shelby,2020-07-10,6,0,0.0,1,1
Macoupin,2020-07-10,6,0,0.0,2,2
Randolph,2020-07-10,4,0,0.0,2,2
Effingham,2020-07-10,3,0,0.0,1,1
Bond,2020-07-10,3,0,0.0,1,1
Christian,2020-07-10,2,0,0.0,1,1
Stephenson,2020-07-10,2,0,0.0,1,1
Williamson,2020-07-10,2,0,0.0,1,1
Jo Daviess,2020-07-10,2,0,0.0,1,1
